SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051483,00182M00:05:40.589,0182 00:20:26,713.25,,1
683051484,00182M00:05:41.562,0182 00:20:27,713.27,,1
683051485,00182M00:05:42.536,0182 00:20:28,713.31,,1
683051486,00182M00:05:43.509,0182 00:20:29,713.25,,1
683051487,00182M00:05:44.482,0182 00:20:30,713.34,,1
683051488,00182M00:05:45.455,0182 00:20:31,713.31,,1
683051489,00182M00:05:46.429,0182 00:20:32,713.29,,1
683051490,00182M00:05:47.402,0182 00:20:33,713.32,,1
683051491,00182M00:05:48.375,0182 00:20:34,713.31,,1
683051492,00182M00:05:49.348,0182 00:20:35,713.29,,1
683051493,00182M00:05:50.322,0182 00:20:36,713.27,,1
683051494,00182M00:05:51.295,0182 00:20:37,713.29,,1
683051495,00182M00:05:52.268,0182 00:20:38,713.29,,1
683051496,00182M00:05:53.241,0182 00:20:39,713.32,,1
683051497,00182M00:05:54.215,0182 00:20:40,713.25,,1
683051498,00182M00:05:55.188,0182 00:20:41,713.27,,1
683051499,00182M00:05:56.161,0182 00:20:42,713.29,,1
683051500,00182M00:05:57.134,0182 00:20:43,713.27,,1
683051501,00182M00:05:58.108,0182 00:20:44,713.30,,1
683051502,00182M00:05:59.081,0182 00:20:45,713.25,,1
683051503,00182M00:06:00.054,0182 00:20:46,713.30,,1
683051504,00182M00:06:01.027,0182 00:20:47,713.23,,1
683051505,00182M00:06:02.001,0182 00:20:48,713.25,,1
683051506,00182M00:06:02.974,0182 00:20:49,713.27,,1
683051507,00182M00:06:03.947,0182 00:20:50,713.25,,1
683051508,00182M00:06:04.920,0182 00:20:51,713.27,,1
683051509,00182M00:06:05.894,0182 00:20:52,713.28,,1
683051510,00182M00:06:06.867,0182 00:20:53,713.23,,1
683051511,00182M00:06:07.840,0182 00:20:53,713.25,,1
683051512,00182M00:06:08.813,0182 00:20:54,713.29,,1
683051513,00182M00:06:09.787,0182 00:20:55,713.23,,1
683051514,00182M00:06:10.760,0182 00:20:56,713.30,,1
683051515,00182M00:06:11.733,0182 00:20:57,713.29,,1
683051516,00182M00:06:12.706,0182 00:20:58,713.30,,1
683051517,00182M00:06:13.680,0182 00:20:59,713.23,,1
683051518,00182M00:06:14.653,0182 00:21:00,713.28,,1
683051519,00182M00:06:15.626,0182 00:21:01,713.30,,1
683051520,00182M00:06:16.599,0182 00:21:02,713.32,,1
683051521,00182M00:06:17.573,0182 00:21:03,713.25,,1
683051522,00182M00:06:18.546,0182 00:21:04,713.26,,1
683051523,00182M00:06:19.519,0182 00:21:05,713.28,,1
683051524,00182M00:06:20.492,0182 00:21:06,713.26,,1
683051525,00182M00:06:21.466,0182 00:21:07,713.25,,1
683051526,00182M00:06:22.439,0182 00:21:08,713.25,,1
